show_id,type,title,director,country,date_added,release_year,duration
s352,Movie,Ainu Mosir,Takeshi Fukunaga,"United States, Japan","November 17, 2020",2020,84 min
s353,Movie,Airplane Mode,César Rodrigues,United States,"January 23, 2020",2020,97 min
s354,Movie,Aisa Yeh Jahaan,Biswajeet Bora,India,"October 15, 2017",2015,127 min
s355,Movie,Aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",India,"March 1, 2018",2004,153 min
s356,Movie,Aiyaary,Neeraj Pandey,India,"May 15, 2018",2018,158 min
s357,Movie,Aiyyaa,Sachin Kundalkar,India,"July 5, 2020",2012,151 min
s359,Movie,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,India,"October 25, 2020",2009,150 min
s362,Movie,Ajji,Devashish Makhija,India,"May 1, 2018",2017,105 min
s363,Movie,AK vs AK,Vikramaditya Motwane,India,"December 25, 2020",2020,109 min
s369,Movie,Ala Vaikunthapurramuloo,Trivikram Srinivas,India,"February 27, 2020",2020,162 min
s371,Movie,Alan Saldaña: Mi vida de pobre,"Raúl Campos, Jan Suter",Mexico,"August 4, 2017",2017,54 min
s373,Movie,Alaska Is a Drag,Shaz Bennett,United States,"December 31, 2020",2017,83 min
s374,Movie,Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,India,"December 31, 2019",2019,85 min
s375,Movie,Albion: The Enchanted Stallion,Castille Landon,"United States, Bulgaria","July 1, 2017",2016,106 min
s376,Movie,Alejandro Riaño: Especial de stand up,,Colombia,"January 10, 2018",2018,60 min
s377,Movie,Alejandro Sanz: What I Was Is What I Am,"Gervasio Iglesias, Alexis Morante",Spain,"August 18, 2018",2018,102 min
s378,Movie,Alelí,Leticia Jorge Romero,"Uruguay, Argentina","April 16, 2020",2019,88 min
s379,Movie,Alex Fernández: The Best Comedian in the World,Alex Díaz,Mexico,"January 23, 2020",2020,51 min
s380,Movie,Alex Strangelove,Craig Johnson,United States,"June 8, 2018",2018,100 min
s382,Movie,Alexandria ... Why?,Youssef Chahine,"Egypt, Algeria","June 18, 2020",1979,131 min
s383,Movie,Alexandria: Again and Forever,Youssef Chahine,"France, Egypt","June 18, 2020",1989,109 min
s384,Movie,Alexis Viera: A Story of Surviving,Luis Ara,Uruguay,"March 20, 2019",2019,69 min
s385,Movie,Ali & Alia,Hussein El Ansary,United Arab Emirates,"May 12, 2020",2019,106 min
s386,Movie,Ali Baba ve 7 Cüceler,Cem Yılmaz,Turkey,"July 1, 2020",2015,115 min
s387,Movie,Ali Wong: Baby Cobra,Jay Karas,United States,"May 6, 2016",2016,60 min
s388,Movie,Ali Wong: Hard Knock Wife,Jay Karas,United States,"May 13, 2018",2018,64 min
s389,Movie,Ali's Wedding,Jeffrey Walker,Australia,"June 8, 2018",2018,110 min
s392,Movie,Alibaba Aur 40 Chor,"Latif Faiziyev, Umesh Mehra","Soviet Union, India","January 15, 2018",1980,147 min
s393,Movie,Alice Doesn't Live Here Anymore,Martin Scorsese,United States,"July 1, 2019",1974,112 min
s395,Movie,Alice Junior,Gil Baroni,Brazil,"October 23, 2020",2019,87 min
